net_name,net_number,stimulus,set_size_1_acc,set_size_8_acc,set_size_1_err,set_size_effect,set_size_1_err_plus_effect
CORnet_Z,7,RVvGV,100.0,74.375,0.0,25.625,25.625
CORnet_Z,7,RVvRHGV,100.0,74.375,0.0,25.625,25.625
CORnet_Z,7,PWVvCV,96.25,57.49999999999999,3.75,38.75000000000001,42.50000000000001
CORnet_Z,7,PWVvPWHCV,98.75,66.25,1.25,32.5,33.75
CORnet_Z,7,2_v_5,70.0,56.875,30.0,13.125,43.125
CORnet_Z,7,YT_v_BTYL,98.125,75.625,1.875,22.5,24.375
CORnet_Z,7,YT_v_BTBL,99.375,83.125,0.625,16.25,16.875
CORnet_Z,7,Bx_v_RxBo,99.375,80.0,0.625,19.375,20.0
CORnet_Z,7,Bx_v_RxRo,100.0,86.875,0.0,13.125,13.125
CORnet_Z,7,TvT,100.0,72.5,0.0,27.5,27.5
CORnet_Z,8,RVvGV,100.0,84.375,0.0,15.625,15.625
CORnet_Z,8,RVvRHGV,100.0,75.0,0.0,25.0,25.0
CORnet_Z,8,PWVvCV,96.875,62.5,3.125,34.375,37.5
CORnet_Z,8,PWVvPWHCV,98.75,70.625,1.25,28.125,29.375
CORnet_Z,8,2_v_5,71.25,63.125,28.75,8.125,36.875
CORnet_Z,8,YT_v_BTYL,97.5,76.25,2.5,21.25,23.75
CORnet_Z,8,YT_v_BTBL,99.375,85.625,0.625,13.75,14.375
CORnet_Z,8,Bx_v_RxBo,99.375,80.625,0.625,18.75,19.375
CORnet_Z,8,Bx_v_RxRo,100.0,86.25,0.0,13.75,13.75
CORnet_Z,8,TvT,100.0,80.625,0.0,19.375,19.375
CORnet_S,1,RVvGV,96.25,76.875,3.75,19.375,23.125
CORnet_S,1,RVvRHGV,95.0,70.625,5.0,24.375,29.375
CORnet_S,1,PWVvCV,87.5,58.12500000000001,12.5,29.374999999999993,41.87499999999999
CORnet_S,1,PWVvPWHCV,87.5,63.74999999999999,12.5,23.750000000000007,36.25000000000001
CORnet_S,1,2_v_5,52.5,51.24999999999999,47.5,1.250000000000007,48.75000000000001
CORnet_S,1,YT_v_BTYL,90.0,68.125,10.0,21.875,31.875
CORnet_S,1,YT_v_BTBL,98.75,77.5,1.25,21.25,22.5
CORnet_S,1,Bx_v_RxBo,96.25,66.25,3.75,30.0,33.75
CORnet_S,1,Bx_v_RxRo,98.125,73.125,1.875,25.0,26.875
CORnet_S,1,TvT,83.75,66.875,16.25,16.875,33.125
CORnet_S,2,RVvGV,96.25,74.375,3.75,21.875,25.625
CORnet_S,2,RVvRHGV,95.625,71.25,4.375,24.375,28.75
CORnet_S,2,PWVvCV,89.375,58.12500000000001,10.625,31.249999999999993,41.87499999999999
CORnet_S,2,PWVvPWHCV,87.5,65.0,12.5,22.5,35.0
CORnet_S,2,2_v_5,56.875,56.25,43.125,0.625,43.75
CORnet_S,2,YT_v_BTYL,88.75,69.375,11.25,19.375,30.625
CORnet_S,2,YT_v_BTBL,99.375,78.75,0.625,20.625,21.25
CORnet_S,2,Bx_v_RxBo,97.5,68.125,2.5,29.375,31.875
CORnet_S,2,Bx_v_RxRo,98.75,73.75,1.25,25.0,26.25
CORnet_S,2,TvT,81.875,65.625,18.125,16.25,34.375
CORnet_S,3,RVvGV,98.125,75.0,1.875,23.125,25.0
CORnet_S,3,RVvRHGV,96.25,68.125,3.75,28.125,31.875
CORnet_S,3,PWVvCV,91.25,58.75,8.75,32.5,41.25
CORnet_S,3,PWVvPWHCV,89.375,64.375,10.625,25.0,35.625
CORnet_S,3,2_v_5,60.0,51.87500000000001,40.0,8.124999999999993,48.12499999999999
CORnet_S,3,YT_v_BTYL,91.25,68.125,8.75,23.125,31.875
CORnet_S,3,YT_v_BTBL,98.125,82.5,1.875,15.625,17.5
CORnet_S,3,Bx_v_RxBo,99.375,65.625,0.625,33.75,34.375
CORnet_S,3,Bx_v_RxRo,98.75,72.5,1.25,26.25,27.5
CORnet_S,3,TvT,88.125,66.25,11.875,21.875,33.75
CORnet_S,4,RVvGV,96.25,78.125,3.75,18.125,21.875
CORnet_S,4,RVvRHGV,95.625,70.0,4.375,25.625,30.0
CORnet_S,4,PWVvCV,91.25,58.12500000000001,8.75,33.12499999999999,41.87499999999999
CORnet_S,4,PWVvPWHCV,89.375,65.625,10.625,23.75,34.375
CORnet_S,4,2_v_5,54.37499999999999,56.25,45.62500000000001,-1.875000000000007,43.75
CORnet_S,4,YT_v_BTYL,88.75,66.875,11.25,21.875,33.125
