,net_name,method,mode,learning_rate,net_number,stimulus,set_size,target_condition,n_correct,n_trials,accuracy,hit_rate,false_alarm_rate,d_prime,source_dataset,method_source_dataset,greenness,discrim_pct
2984,alexnet,transfer,classify,0.001,3,RVvGV_185,1,both,256,512,0.5,,,,search stimuli (classify),0,185,0.27450980392156865
2985,alexnet,transfer,classify,0.001,3,RVvGV_185,2,both,256,512,0.5,,,,search stimuli (classify),0,185,0.27450980392156865
2986,alexnet,transfer,classify,0.001,3,RVvGV_185,4,both,256,512,0.5,,,,search stimuli (classify),0,185,0.27450980392156865
2987,alexnet,transfer,classify,0.001,3,RVvGV_185,8,both,256,512,0.5,,,,search stimuli (classify),0,185,0.27450980392156865
2996,alexnet,transfer,classify,0.001,3,RVvGV_209,1,both,256,512,0.5,,,,search stimuli (classify),0,209,0.18039215686274512
2997,alexnet,transfer,classify,0.001,3,RVvGV_209,2,both,256,512,0.5,,,,search stimuli (classify),0,209,0.18039215686274512
2998,alexnet,transfer,classify,0.001,3,RVvGV_209,4,both,256,512,0.5,,,,search stimuli (classify),0,209,0.18039215686274512
2999,alexnet,transfer,classify,0.001,3,RVvGV_209,8,both,256,512,0.5,,,,search stimuli (classify),0,209,0.18039215686274512
3008,alexnet,transfer,classify,0.001,3,RVvGV_232,1,both,256,512,0.5,,,,search stimuli (classify),0,232,0.09019607843137256
3009,alexnet,transfer,classify,0.001,3,RVvGV_232,2,both,256,512,0.5,,,,search stimuli (classify),0,232,0.09019607843137256
3010,alexnet,transfer,classify,0.001,3,RVvGV_232,4,both,256,512,0.5,,,,search stimuli (classify),0,232,0.09019607843137256
3011,alexnet,transfer,classify,0.001,3,RVvGV_232,8,both,256,512,0.5,,,,search stimuli (classify),0,232,0.09019607843137256
3020,alexnet,transfer,classify,0.001,3,RVvGV_255,1,both,256,512,0.5,,,,search stimuli (classify),0,255,0.0
3021,alexnet,transfer,classify,0.001,3,RVvGV_255,2,both,256,512,0.5,,,,search stimuli (classify),0,255,0.0
3022,alexnet,transfer,classify,0.001,3,RVvGV_255,4,both,256,512,0.5,,,,search stimuli (classify),0,255,0.0
3023,alexnet,transfer,classify,0.001,3,RVvGV_255,8,both,256,512,0.5,,,,search stimuli (classify),0,255,0.0
3176,alexnet,transfer,classify,0.001,4,RVvGV_0,1,both,512,512,1.0,,,,search stimuli (classify),0,0,1.0
3177,alexnet,transfer,classify,0.001,4,RVvGV_0,2,both,512,512,1.0,,,,search stimuli (classify),0,0,1.0
3178,alexnet,transfer,classify,0.001,4,RVvGV_0,4,both,512,512,1.0,,,,search stimuli (classify),0,0,1.0
3179,alexnet,transfer,classify,0.001,4,RVvGV_0,8,both,512,512,1.0,,,,search stimuli (classify),0,0,1.0
3188,alexnet,transfer,classify,0.001,4,RVvGV_23,1,both,512,512,1.0,,,,search stimuli (classify),0,23,0.9098039215686274
3189,alexnet,transfer,classify,0.001,4,RVvGV_23,2,both,512,512,1.0,,,,search stimuli (classify),0,23,0.9098039215686274
3190,alexnet,transfer,classify,0.001,4,RVvGV_23,4,both,512,512,1.0,,,,search stimuli (classify),0,23,0.9098039215686274
3191,alexnet,transfer,classify,0.001,4,RVvGV_23,8,both,512,512,1.0,,,,search stimuli (classify),0,23,0.9098039215686274
3200,alexnet,transfer,classify,0.001,4,RVvGV_46,1,both,512,512,1.0,,,,search stimuli (classify),0,46,0.8196078431372549
3201,alexnet,transfer,classify,0.001,4,RVvGV_46,2,both,512,512,1.0,,,,search stimuli (classify),0,46,0.8196078431372549
3202,alexnet,transfer,classify,0.001,4,RVvGV_46,4,both,512,512,1.0,,,,search stimuli (classify),0,46,0.8196078431372549
3203,alexnet,transfer,classify,0.001,4,RVvGV_46,8,both,512,512,1.0,,,,search stimuli (classify),0,46,0.8196078431372549
3212,alexnet,transfer,classify,0.001,4,RVvGV_70,1,both,512,512,1.0,,,,search stimuli (classify),0,70,0.7254901960784313
3213,alexnet,transfer,classify,0.001,4,RVvGV_70,2,both,512,512,1.0,,,,search stimuli (classify),0,70,0.7254901960784313
3214,alexnet,transfer,classify,0.001,4,RVvGV_70,4,both,512,512,1.0,,,,search stimuli (classify),0,70,0.7254901960784313
3215,alexnet,transfer,classify,0.001,4,RVvGV_70,8,both,512,512,1.0,,,,search stimuli (classify),0,70,0.7254901960784313
3224,alexnet,transfer,classify,0.001,4,RVvGV_93,1,both,491,512,0.958984375,,,,search stimuli (classify),0,93,0.6352941176470588
3225,alexnet,transfer,classify,0.001,4,RVvGV_93,2,both,512,512,1.0,,,,search stimuli (classify),0,93,0.6352941176470588
3226,alexnet,transfer,classify,0.001,4,RVvGV_93,4,both,512,512,1.0,,,,search stimuli (classify),0,93,0.6352941176470588
3227,alexnet,transfer,classify,0.001,4,RVvGV_93,8,both,512,512,1.0,,,,search stimuli (classify),0,93,0.6352941176470588
3236,alexnet,transfer,classify,0.001,4,RVvGV_116,1,both,387,512,0.755859375,,,,search stimuli (classify),0,116,0.5450980392156863
3237,alexnet,transfer,classify,0.001,4,RVvGV_116,2,both,511,512,0.998046875,,,,search stimuli (classify),0,116,0.5450980392156863
3238,alexnet,transfer,classify,0.001,4,RVvGV_116,4,both,510,512,0.99609375,,,,search stimuli (classify),0,116,0.5450980392156863
3239,alexnet,transfer,classify,0.001,4,RVvGV_116,8,both,510,512,0.99609375,,,,search stimuli (classify),0,116,0.5450980392156863
3248,alexnet,transfer,classify,0.001,4,RVvGV_139,1,both,330,512,0.64453125,,,,search stimuli (classify),0,139,0.4549019607843138
3249,alexnet,transfer,classify,0.001,4,RVvGV_139,2,both,466,512,0.91015625,,,,search stimuli (classify),0,139,0.4549019607843138
3250,alexnet,transfer,classify,0.001,4,RVvGV_139,4,both,446,512,0.87109375,,,,search stimuli (classify),0,139,0.4549019607843138
3251,alexnet,transfer,classify,0.001,4,RVvGV_139,8,both,463,512,0.904296875,,,,search stimuli (classify),0,139,0.4549019607843138
3260,alexnet,transfer,classify,0.001,4,RVvGV_162,1,both,299,512,0.583984375,,,,search stimuli (classify),0,162,0.3647058823529412
3261,alexnet,transfer,classify,0.001,4,RVvGV_162,2,both,342,512,0.66796875,,,,search stimuli (classify),0,162,0.3647058823529412
3262,alexnet,transfer,classify,0.001,4,RVvGV_162,4,both,334,512,0.65234375,,,,search stimuli (classify),0,162,0.3647058823529412
3263,alexnet,transfer,classify,0.001,4,RVvGV_162,8,both,326,512,0.63671875,,,,search stimuli (classify),0,162,0.3647058823529412
3272,alexnet,transfer,classify,0.001,4,RVvGV_185,1,both,257,512,0.501953125,,,,search stimuli (classify),0,185,0.27450980392156865
3273,alexnet,transfer,classify,0.001,4,RVvGV_185,2,both,256,512,0.5,,,,search stimuli (classify),0,185,0.27450980392156865
3274,alexnet,transfer,classify,0.001,4,RVvGV_185,4,both,256,512,0.5,,,,search stimuli (classify),0,185,0.27450980392156865
3275,alexnet,transfer,classify,0.001,4,RVvGV_185,8,both,256,512,0.5,,,,search stimuli (classify),0,185,0.27450980392156865
3284,alexnet,transfer,classify,0.001,4,RVvGV_209,1,both,256,512,0.5,,,,search stimuli (classify),0,209,0.18039215686274512
3285,alexnet,transfer,classify,0.001,4,RVvGV_209,2,both,256,512,0.5,,,,search stimuli (classify),0,209,0.18039215686274512
3286,alexnet,transfer,classify,0.001,4,RVvGV_209,4,both,256,512,0.5,,,,search stimuli (classify),0,209,0.18039215686274512
3287,alexnet,transfer,classify,0.001,4,RVvGV_209,8,both,256,512,0.5,,,,search stimuli (classify),0,209,0.18039215686274512
3296,alexnet,transfer,classify,0.001,4,RVvGV_232,1,both,256,512,0.5,,,,search stimuli (classify),0,232,0.09019607843137256
3297,alexnet,transfer,classify,0.001,4,RVvGV_232,2,both,256,512,0.5,,,,search stimuli (classify),0,232,0.09019607843137256
3298,alexnet,transfer,classify,0.001,4,RVvGV_232,4,both,256,512,0.5,,,,search stimuli (classify),0,232,0.09019607843137256
3299,alexnet,transfer,classify,0.001,4,RVvGV_232,8,both,256,512,0.5,,,,search stimuli (classify),0,232,0.09019607843137256
3308,alexnet,transfer,classify,0.001,4,RVvGV_255,1,both,256,512,0.5,,,,search stimuli (classify),0,255,0.0
3309,alexnet,transfer,classify,0.001,4,RVvGV_255,2,both,256,512,0.5,,,,search stimuli (classify),0,255,0.0
3310,alexnet,transfer,classify,0.001,4,RVvGV_255,4,both,256,512,0.5,,,,search stimuli (classify),0,255,0.0
3311,alexnet,transfer,classify,0.001,4,RVvGV_255,8,both,256,512,0.5,,,,search stimuli (classify),0,255,0.0
3464,alexnet,transfer,classify,0.001,5,RVvGV_0,1,both,512,512,1.0,,,,search stimuli (classify),0,0,1.0
3465,alexnet,transfer,classify,0.001,5,RVvGV_0,2,both,512,512,1.0,,,,search stimuli (classify),0,0,1.0
3466,alexnet,transfer,classify,0.001,5,RVvGV_0,4,both,512,512,1.0,,,,search stimuli (classify),0,0,1.0
3467,alexnet,transfer,classify,0.001,5,RVvGV_0,8,both,512,512,1.0,,,,search stimuli (classify),0,0,1.0
3476,alexnet,transfer,classify,0.001,5,RVvGV_23,1,both,512,512,1.0,,,,search stimuli (classify),0,23,0.9098039215686274
3477,alexnet,transfer,classify,0.001,5,RVvGV_23,2,both,512,512,1.0,,,,search stimuli (classify),0,23,0.9098039215686274
3478,alexnet,transfer,classify,0.001,5,RVvGV_23,4,both,512,512,1.0,,,,search stimuli (classify),0,23,0.9098039215686274
3479,alexnet,transfer,classify,0.001,5,RVvGV_23,8,both,512,512,1.0,,,,search stimuli (classify),0,23,0.9098039215686274
3488,alexnet,transfer,classify,0.001,5,RVvGV_46,1,both,512,512,1.0,,,,search stimuli (classify),0,46,0.8196078431372549
3489,alexnet,transfer,classify,0.001,5,RVvGV_46,2,both,512,512,1.0,,,,search stimuli (classify),0,46,0.8196078431372549
3490,alexnet,transfer,classify,0.001,5,RVvGV_46,4,both,512,512,1.0,,,,search stimuli (classify),0,46,0.8196078431372549
