,net_name,method,source_dataset,net_number,set_size,alpha,alpha_cov,beta,beta_cov,threshold_acc,discrim_threshold,log_set_size,log_discrim_threshold
121,alexnet,transfer,"DomainNet, Clipart domain",7,2,0.7648738418796746,1.358692082156007e-06,0.035744827133067966,7.355309848973075e-07,0.75,0.7647647647647647,0.3010299956639812,-0.1164721296502924
122,alexnet,transfer,"DomainNet, Clipart domain",7,4,0.7888037365048878,5.40968107537613e-07,0.045827643968818346,3.856063394792571e-07,0.75,0.7887887887887888,0.6020599913279624,-0.10303927073642699
123,alexnet,transfer,"DomainNet, Clipart domain",7,8,0.8212309914392378,1.1245546478780042e-05,0.0575572862789491,8.940744505513169e-06,0.75,0.8208208208208209,0.9030899869919435,-0.0857516358422656
124,alexnet,transfer,"DomainNet, Clipart domain",8,1,0.814131829470799,4.261259841980088e-05,0.044371163170603745,3.7256339261166195e-05,0.75,0.8138138138138138,0.0,-0.08947494263191416
125,alexnet,transfer,"DomainNet, Clipart domain",8,2,0.7827542229175058,2.360738430972925e-06,0.038611779521882224,1.4311091222114372e-06,0.75,0.7827827827827828,0.3010299956639812,-0.1063587351661343
126,alexnet,transfer,"DomainNet, Clipart domain",8,4,0.7978977899220417,2.4879528246027513e-06,0.041965777398130094,1.9220628796338423e-06,0.75,0.7977977977977978,0.6020599913279624,-0.09810716682986996
127,alexnet,transfer,"DomainNet, Clipart domain",8,8,0.8145948910736799,2.9641538837249925e-06,0.05980928079858675,2.331527174121248e-06,0.75,0.8148148148148148,0.9030899869919435,-0.0889410833367811
128,VGG16,transfer,search stimuli (classify),1,1,,,,,0.75,0.0,0.0,-inf
129,VGG16,transfer,search stimuli (classify),1,2,0.5156647754370133,2.0709993294212558e-05,0.03157444817656677,1.2446431609299616e-05,0.75,0.5155155155155156,0.3010299956639812,-0.28775825918479125
130,VGG16,transfer,search stimuli (classify),1,4,0.5610705171811744,1.75503608094887e-05,0.04543662041567102,1.4234966108186182e-05,0.75,0.5615615615615616,0.6020599913279624,-0.2506026269698209
131,VGG16,transfer,search stimuli (classify),1,8,0.6149714515061568,1.7545825565843998e-05,0.04289316975113406,1.3937535570721666e-05,0.75,0.6146146146146146,0.9030899869919435,-0.2113971170848146
132,VGG16,transfer,search stimuli (classify),2,1,,,,,0.75,0.0,0.0,-inf
133,VGG16,transfer,search stimuli (classify),2,2,0.518640544145205,2.829480784282596e-05,0.03190621178007657,1.890141299375874e-05,0.75,0.5185185185185185,0.3010299956639812,-0.2852357284807493
134,VGG16,transfer,search stimuli (classify),2,4,0.5575062683253088,1.572921678084016e-05,0.044374372293641925,1.3174286646473006e-05,0.75,0.5575575575575575,0.6020599913279624,-0.2537102930522534
135,VGG16,transfer,search stimuli (classify),2,8,0.6032036203583858,1.4917714924158888e-05,0.043352555229627554,1.0685530780579503e-05,0.75,0.6036036036036035,0.9030899869919435,-0.21924817608583105
136,VGG16,transfer,search stimuli (classify),3,1,,,,,0.75,0.0,0.0,-inf
137,VGG16,transfer,search stimuli (classify),3,2,0.509871429650199,1.0051141386669742e-05,0.0309387676865847,5.040939607987053e-06,0.75,0.5095095095095095,0.3010299956639812,-0.2928477058892236
138,VGG16,transfer,search stimuli (classify),3,4,0.5212241173253337,4.8660354005397965e-06,0.031601019254607704,3.559482777967814e-06,0.75,0.5215215215215215,0.6020599913279624,-0.2827277649264578
139,VGG16,transfer,search stimuli (classify),3,8,0.6071929491022313,1.6807145759888483e-05,0.04331812868571391,1.2416184466864199e-05,0.75,0.6076076076076076,0.9030899869919435,-0.21637679715072475
140,VGG16,transfer,search stimuli (classify),4,1,,,,,0.75,0.0,0.0,-inf
141,VGG16,transfer,search stimuli (classify),4,2,0.5266269162270306,3.2288465528576876e-05,0.03308197821551754,2.873004923798714e-05,0.75,0.5265265265265265,0.3010299956639812,-0.27857974407224323
142,VGG16,transfer,search stimuli (classify),4,4,0.5407929646851156,1.4484115387767084e-05,0.03978149156661576,1.3991960196010037e-05,0.75,0.5405405405405406,0.6020599913279624,-0.2671717284030138
143,VGG16,transfer,search stimuli (classify),4,8,0.6054577042692224,1.6910831466729925e-05,0.04366996322088755,1.2353917991126994e-05,0.75,0.6056056056056056,0.9030899869919435,-0.21781011357351343
144,VGG16,transfer,search stimuli (classify),5,1,,,,,0.75,0.0,0.0,-inf
145,VGG16,transfer,search stimuli (classify),5,2,0.5233698486579128,2.7949167735879287e-05,0.0324588809686916,2.2222969611424613e-05,0.75,0.5235235235235235,0.3010299956639812,-0.2810637993587081
